x y z
-0.098 0.334 9.723
-0.293 0.633 9.853
-0.310 0.595 9.833
-0.438 0.823 10.062
-0.373 0.833 9.916
-0.213 0.939 10.153
-0.166 0.910 10.107
-0.114 0.651 10.167
-0.347 0.601 10.174
-0.301 0.189 10.149
-0.434 0.293 10.162
-0.310 0.226 10.122
-0.275 0.408 10.195
-0.215 0.498 9.842
-0.176 0.364 9.867
-0.287 0.498 9.739
-0.240 0.476 9.860
-0.346 0.706 9.923
-0.373 0.633 9.803
-0.473 0.701 10.189
-0.302 0.812 10.117
-0.080 0.888 10.350
-0.145 0.856 10.169
-0.373 0.492 10.273
-0.526 0.470 10.460
-0.493 0.247 10.211
-0.435 0.419 10.333
-0.249 0.276 10.120
-0.246 0.366 10.138
-0.197 0.384 9.884
-0.217 0.453 9.851
-0.232 0.574 9.995
-0.171 0.463 9.802
-0.321 0.802 10.111
-0.340 0.705 10.033
-0.479 0.944 10.202
-0.299 0.755 10.122
-0.110 0.677 10.056
-0.154 0.633 10.167
-0.255 0.394 10.222
-0.464 0.430 10.339
-0.384 0.194 10.083
-0.374 0.264 10.195
-0.311 0.387 10.006
-0.193 0.406 9.980
-0.150 0.531 9.640
-0.144 0.483 9.779
-0.403 0.580 9.738
-0.454 0.585 9.778
-0.407 0.614 9.843
-0.333 0.864 9.897
-0.169 0.876 10.126
-0.223 0.891 10.088
-0.288 0.760 10.240
-0.304 0.742 10.327
-0.311 0.409 10.028
-0.501 0.348 10.370
-0.486 0.263 10.134
-0.285 0.413 10.245
-0.096 0.464 9.960
-0.045 0.390 9.898
-0.274 0.521 9.988
-0.320 0.471 9.882
-0.383 0.730 10.017
-0.309 0.581 9.842
-0.432 0.808 10.126
-0.336 0.802 10.197
-0.197 0.812 10.150
-0.192 0.832 10.201
-0.190 0.439 10.186
-0.450 0.419 10.263
-0.405 0.113 10.353
-0.406 0.224 10.189
-0.260 0.230 10.184
-0.206 0.280 10.054
-0.229 0.535 9.961
-0.096 0.406 9.857
-0.266 0.672 9.779
-0.205 0.441 9.802
-0.501 0.555 10.024
-0.424 0.556 9.960
-0.232 0.866 10.074
-0.115 1.017 9.975
-0.054 0.711 10.239
-0.349 0.830 10.320
-0.340 0.424 10.142
-0.471 0.517 10.211
-0.321 0.259 10.094
-0.318 0.242 10.293
-0.327 0.415 9.974
-0.218 0.387 10.006
-0.217 0.616 9.919
-0.069 0.348 9.785
-0.303 0.639 9.977
-0.332 0.618 9.826
-0.453 0.800 10.049
-0.434 0.851 9.961
-0.244 0.811 10.129
-0.188 1.012 10.135
