A_X[LSB] A_Y[LSB] A_Z[LSB]
-195 1457 17214
-531 810 17084
-800 765 17690
-823 477 17083
-659 711 17360
-383 366 17007
-451 508 17088
-367 657 16612
-316 726 16481
-289 975 16789
-287 903 16462
-605 1235 16886
-588 1243 16631
-764 1649 17202
-505 1449 17124
-216 1196 16856
-232 1208 17266
-361 717 17133
-757 741 17365
-727 319 16819
-656 327 17078
-537 645 16820
-283 614 16536
-254 812 16318
-226 640 16218
-641 1016 16415
-717 1033 16340
-696 958 16432
-532 1393 16566
-212 1487 16917
-381 1538 16974
-485 1337 17079
-530 1252 17260
-475 728 16923
-796 612 17380
-852 413 17015
-462 601 17179
-190 896 16719
-33 600 16517
-486 930 16744
-418 683 16581
-666 1170 16757
-540 969 16404
-573 1247 17146
-617 1421 17073
-340 1306 17006
-342 1496 17090
-248 725 17012
-702 778 17464
-661 279 17083
-591 253 17058
-518 461 17102
-308 319 16941
-506 878 16700
-169 707 16451
-299 1053 16428
-320 799 16440
-837 893 16698
-818 983 16566
-328 1334 16845
-149 1739 16755
-168 1134 16991
-591 1351 17350
-628 909 16920
-644 807 17204
-560 504 16877
-629 400 17291
-569 662 16819
-348 599 16786
-303 951 16641
-179 680 16394
-486 1043 16752
-557 1036 16377
-752 1333 16715
-733 1435 16826
-500 1308 16862
-327 1631 17003
-167 1139 16840
-508 1016 17135
-622 372 16954
-709 389 17149
-629 472 17061
-373 464 16968
-414 771 16775
-302 491 16415
-440 808 16467
-446 832 16309
-447 861 16675
-644 1092 16458
-705 1144 16905
-560 1404 16936
-309 1411 17042
-219 1484 17305
-262 1187 17121
-618 901 17535
-836 585 17088
-733 527 17331
-461 413 16968
-410 353 17021
-460 709 16992
-323 643 16455
-332 917 16792
-329 1024 16520
-520 1239 16852
-786 1250 16414
-699 1183 16971
-594 1398 17048
-315 1322 16895
-235 1226 17379
-380 771 17095
-360 425 17148
-758 606 17122
-674 364 17020
-613 694 16973
-247 600 16568
-192 868 16386
-261 895 16190
-380 851 16536
-684 965 16307
-700 920 16381
-622 1388 16715
-253 1360 16766
-288 1642 17074
-234 1241 16787
-524 1243 17256
-443 819 16865
-643 672 17367
-845 546 17043
-751 236 16913
-426 731 17114
-36 648 16596
-404 1002 16778
-549 699 16478
-681 1130 16773
-662 1212 16760
-529 1038 16648
-695 1384 17030
-366 1227 16890
-313 1417 17171
-256 933 16982
-420 800 17261
-707 484 17023
-597 197 17115
-546 480 17147
-391 411 16876
-494 899 16904
-326 845 16525
-238 965 16761
-336 956 16405
-726 762 16628
-876 999 16664
-383 1170 16674
-232 1553 17187
-100 1623 16849
-417 1392 17328
-646 902 16869
-641 681 17124
-588 544 16990
-554 341 16961
-729 612 17088
-420 637 16734
-247 922 16841
-237 785 16357
